S.No,Title,Total.Gross,Domestic.Gross,Opening.Gross,Foreign.Gross,Theatres.Opening,Theatres.Widest,In.Theatres.wks,Genre,Runtime,MPAA.Rating,CriticRate.RT,UserRating.RT,Budget.mil,Budget,Month,Season,Franchise,Oscar.Nominated,Year
17,This is Where I Leave You,40996320,34296320,11558149,6700000,2868,2868,11,C,103,R,41,61,19.8,19800000,9,4,0,0,2014
18,Earth to Echo,45336704,38934842,8364658,6401862,3230,3230,17,F,91,PG,48,48,13,1.30E+07,7,3,0,0,2014
19,The Giver,66980456,45090374,12305016,21890082,3003,3003,17,S,91,PG13,36,57,25,2.50E+07,8,3,0,0,2014
20,Blended,126794610,46294610,14284031,80500000,3555,3555,14,C,117,PG13,14,64,40,4.00E+07,5,2,0,0,2014
21,John Wick,78739897,43037835,14415922,35702062,2589,2589,13,A,96,R,83,80,20,2.00E+07,10,4,0,0,2014
22,Ouija,99828269,50856010,19875995,48972259,2858,2899,8,H,89,PG13,7,27,5,5.00E+06,10,4,0,0,2014
23,Wild (2014),52402167,37760982,4720562,14641185,1061,1361,16,D,115,R,90,80,15,1.50E+07,12,1,0,1,2014
24,Selma,51760261,51760261,11878844,0,2179,2235,12.9,D,127,PG13,99,87,20,2.00E+07,12,1,0,1,2014
25,Nightcrawler,38697217,32381217,10441000,6316000,2766,2766,14,D,117,R,95,87,8.5,8500000,10,4,0,1,2014
26,Labor Day,20275812,13371528,5175282,6904284,2584,2584,7,D,111,PG13,34,54,18,1.80E+07,1,1,0,0,2014
27,Moms' Night Out,10429707,10429707,4311083,0,1044,1046,9.4,C,98,PG,19,69,5,5.00E+06,5,2,0,0,2014
28,"I, Frankenstein",71154592,19075290,8610441,52079302,2753,2753,8,S,92,PG13,3,39,65,6.50E+07,1,1,0,0,2014
29,Vampire Academy,15391979,7791979,3921742,7600000,2676,2676,9,D,104,PG13,9,57,30,3.00E+07,2,1,0,0,2014
30,The Drop,18658381,10724389,4104552,7933992,809,1192,9,D,106,R,89,77,12.6,12600000,9,4,0,0,2014
31,The Smurfs 2,347545360,71017784,17548389,276527576,3866,3867,15.7,F,105,PG,14,57,105,1.05E+08,7,3,1,0,2013
32,Iron Man 3,1239748794,417194274,177627477,822554520,4253,4253,19,A,129,PG13,79,79,200,2.04E+08,5,2,1,1,2013
33,Safe Haven,99546023,72776102,21829626,26769920,3223,3223,15.1,D,115,PG13,12,67,28,28600000,2,1,0,0,2013
34,Monsters University,758430799,273862619,84078058,484568180,4004,4004,26,F,107,PG,78,82,200,2.04E+08,6,3,1,0,2013
35,Now You See Me,358758469,120078469,29937397,238680000,2925,3082,17,A,116,PG13,50,71,75,76500000,5,2,0,0,2013
36,G.I. Joe: Retaliation,508229040,124973521,41311850,383255519,3719,3734,16.1,A,99,PG13,28,49,130,132600000,3,2,1,0,2013
37,Insidious Chapter 2,165157704,85258176,41077545,79899528,3049,3155,14,H,105,PG13,38,58,5,5100000,9,4,1,0,2013
38,Frozen,1299703389,408752769,68987410,890950620,3742,3742,34,F,108,PG,89,86,150,1.53E+08,11,4,0,1,2013
39,42,96920617,96920617,28036887,0,3003,3405,15,D,128,PG13,79,86,40,40800000,4,2,0,0,2013
40,White House Down,209474072,74565860,25349303,134908212,3222,3222,11.4,A,137,PG13,50,63,150,1.53E+08,6,3,0,0,2013
41,American Hustle,256195243,153120163,20244336,103075080,2507,2629,16.4,D,138,R,93,74,40,40800000,12,1,0,1,2013
42,The Conjuring,324360144,140148144,42692433,184212000,2903,3115,15,H,112,R,86,82,20,20400000,7,3,1,0,2013
43,Grown Ups 2,251923964,136341896,42338743,115582068,3491,3491,18.4,C,101,PG13,7,54,80,81600000,7,3,1,0,2013
44,The Wolf of Wall Street,399840708,119238708,18728810,280602000,2537,2557,14.3,D,180,R,77,82,100,1.02E+08,12,1,0,1,2013
45,We're the Millers,275394001,153402001,26947784,121992000,3260,3445,17.3,C,110,R,47,72,37,37700000,8,3,0,0,2013
46,Texas Chainsaw 3D,48186784,35028784,22179359,13158000,2654,2659,8,H,92,R,19,41,20,20400000,8,3,1,0,2013
47,Percy Jackson: Sea of Monsters,203847321,69930745,14689075,133916576,3031,3031,25.3,S,106,PG,42,56,90,91800000,8,3,1,0,2013
48,A Good Day to Die Hard,310747266,68696182,25331542,242051084,3553,3553,14.1,A,97,R,14,41,92,93800000,2,1,1,0,2013
49,The Mortal Instruments: City of Bones,92376729,31788729,9523696,60588000,3118,3118,6.7,S,120,PG13,12,59,60,61200000,8,3,0,0,2013
50,Dallas Buyers Club,56302251,27844251,266082,28458000,666,666,26,D,117,R,93,91,5,5100000,11,4,0,1,2013
51,Philomena,102132469,38464179,131004,63668291,835,835,26,D,95,PG13,92,89,12,12200000,11,4,0,1,2013
52,Riddick,100304041,42865638,19410983,57438403,3107,3107,8,S,119,R,58,54,38,38800000,9,4,1,0,2013
53,Instructions Not Included,101048550,45356550,8003355,55692000,717,717,15,C,115,PG13,56,90,5,5100000,8,3,0,0,2013
54,Jack the Giant Slayer,201641355,66491355,27746271,135150000,3525,3525,15,S,114,PG13,52,55,195,198900000,3,2,0,0,2013
55,Evil Dead (2013),99493811,55324653,26291364,44169158,3025,3025,9.4,H,91,R,62,63,17,17300000,4,2,0,0,2013
56,Mud,22021888,22021888,2260209,0,852,852,20,D,130,PG13,98,80,10,10200000,4,2,0,0,2013
57,Spring Breakers,32358770,14406770,268262,17952000,1104,1104,12.7,D,94,R,65,39,5,5100000,3,2,0,0,2013
58,Admission,18367463,18367463,6278084,0,2160,2160,11,C,117,PG13,38,33,13,13300000,3,2,0,0,2013
59,The Place Beyond the Pines,36195320,21831589,285046,14363731,1542,1542,13,D,140,R,80,75,15,15300000,3,2,0,0,2013
60,Paranoia,14060715,7532715,3598944,6528000,2459,2459,7,D,115,PG13,6,35,35,35700000,8,3,0,0,2013
61,Marvel's The Avengers,1564152757,642058647,213661869,922094110,4349,4349,22,A,142,PG13,92,91,220,226600000,5,2,1,1,2012
62,Prometheus,415455103,130271397,52581604,285183707,3396,3396,15,S,124,R,73,69,130,133900000,6,3,1,1,2012
63,Dark Shadows,252892963,82118963,30575832,170774000,3755,3755,14,C,113,PG13,37,46,150,154500000,5,2,0,0,2012
64,Tyler Perry's Madea's Witness Protection,68906219,67622839,26152292,1283380,2161,2161,12,C,114,PG13,21,67,20,20600000,6,3,1,0,2012
65,21 Jump Street,207632888,142601097,37391690,65031791,3121,3121,15.4,C,109,R,85,82,42,43300000,3,2,1,0,2012
66,Snow White and the Huntsman,408490614,159992352,57904231,248498261,3773,3773,14,S,127,PG13,48,52,170,175100000,6,3,0,1,2012
67,Ice Age: Continental Drift,903562125,166161498,48028137,737400627,3881,3881,30,F,94,PG,37,62,95,97900000,7,3,1,0,2012
68,Skyfall,1141817843,313491085,91015655,828326758,3505,3505,17.4,A,143,PG13,92,86,200,2.06E+08,11,4,1,1,2012
69,Rise of the Guardians,316149920,106515141,24486669,209634779,3653,3653,20.3,F,97,PG,74,81,145,149400000,11,4,0,0,2012
70,Wrath of the Titans,314428185,86180185,34460904,228248000,3545,3545,13,S,99,PG13,25,49,150,154500000,3,2,1,0,2012
71,Magic Mike,172238218,117133218,40300985,55105000,2930,2930,13,C,110,R,80,61,7,7200000,6,3,1,0,2012
72,Les Miserables (2012),455064063,153274063,28100187,301790000,2814,2814,14.4,D,157,PG13,70,79,61,62800000,12,1,0,1,2012
73,The Amazing Spider-Man,780668583,269891583,63864829,510777000,4318,4318,14.9,A,136,PG13,73,77,230,236900000,7,3,1,0,2012
74,Argo,239295268,140106268,20041852,99189000,3232,3232,27.9,D,120,R,96,90,44.5,45800000,10,4,0,1,2012
75,Django Unchained,438129285,167689597,31026575,270439688,3010,3010,20.4,D,165,R,88,91,100,1.03E+08,12,1,0,1,2012
76,This Means War,161186017,56403615,17928108,104782403,3189,3189,17,A,97,PG13,26,57,65,6.70E+07,2,1,0,0,2012
77,Total Recall (2012),204421183,60644308,26345091,143776875,3601,3601,9.4,S,121,PG13,30,47,125,128800000,8,3,0,0,2012
78,Savages (2012),85455137,48803530,16497417,36651607,2628,2628,9,D,130,R,51,54,45,46400000,7,3,0,0,2012
79,The Five-Year Engagement,55527044,29700594,10928362,25826450,2936,2936,8,C,124,R,63,52,30,30900000,4,2,0,0,2012
80,American Reunion,242039272,58721867,22159502,183317405,3192,3192,8,C,113,R,43,63,50,51500000,4,2,1,0,2012
81,The Watch,70315898,36413590,13132806,33902308,3168,3168,12,C,102,R,17,40,68,7.00E+07,7,3,0,0,2012
82,Joyful Noise,32092856,31860076,11561946,232780,2735,2735,10,C,118,PG13,33,66,27.5,28300000,1,1,0,0,2012
83,Resident Evil: Retribution,247364033,43615897,21683794,203748136,3012,3012,8.4,S,95,R,31,52,65,6.70E+07,9,4,1,0,2012
84,The Pirates! Band of Misfits,126745662,31982660,11471866,94763002,3358,3358,14.4,F,88,PG,86,60,55,56700000,4,2,0,1,2012
85,Lawless,55286877,38522131,10302041,16764747,2888,2888,13.3,D,115,R,67,75,26,26800000,8,3,0,0,2012
86,Anna Karenina,70997025,13200858,330311,57796166,384,422,15,D,130,R,63,50,49,50500000,11,4,0,1,2012
87,Silent House,13494722,13137426,6861071,357296,2124,2124,8,H,85,R,41,30,2,2100000,3,2,0,0,2012
88,Amour,20434677,6941677,70314,13493000,125,333,21.3,D,125,PG13,93,82,8.9,9200000,12,1,0,1,2012
89,Cloud Atlas,134397354,27921520,9900614,106475834,2008,2008,13,S,164,R,66,66,102,105100000,10,4,0,0,2012
90,Lockout,33180451,14756670,6418791,18423781,2308,2308,6,A,110,PG13,56,35,20,20600000,4,2,0,0,2012
91,Zookeeper,178345397,84378885,21068898,93966512,3482,3482,16,C,104,PG,14,42,80,8.40E+07,7,3,0,0,2011
92,Alvin and the Chipmunks: Chipwrecked,359830207,139766279,24406981,220063928,3723,3734,25,F,87,PG,12,52,75,78800000,12,1,1,0,2011
93,Bridesmaids,302802699,177562061,27559781,125240638,2918,2958,20,C,125,R,90,76,32.5,34100000,5,2,0,1,2011
94,Real Steel,314231933,89741933,28685661,224490000,3440,3440,19,A,127,PG13,60,73,110,115500000,10,4,0,1,2011
95,Cowboys & Aliens,183563441,105252579,38252855,78310863,3750,3754,14,S,118,PG13,44,44,163,171200000,7,3,0,0,2011
96,"Crazy, Stupid, Love.",149993757,88568757,20059518,61425000,3020,3020,17,C,107,PG13,78,77,50,52500000,7,3,0,0,2011
97,The Smurfs,591936789,149744866,37392219,442191923,3395,3427,20,F,86,PG,22,44,110,115500000,7,3,1,0,2011
98,Kung Fu Panda 2,698976895,173511516,50039117,525465379,3925,3952,18.1,F,91,PG,81,74,150,157500000,5,2,1,1,2011
99,Pirates of the Caribbean: On Stranger Tides,1097999492,253125392,94659556,844874100,4155,4164,19,A,137,PG13,33,54,250,262500000,5,2,1,0,2011
100,Harry Potter and the Deathly Hallows Part 2,1408586780,400061780,177648898,1008525000,4375,4375,19,S,130,PG13,96,89,125,131300000,7,3,1,1,2011
101,Limitless,169941928,83211928,19852667,86730000,2756,2838,16,S,105,PG13,70,74,27,28400000,3,2,0,0,2011
102,Thor,471792949,190082155,69009505,281710794,3955,3963,16,S,115,PG13,77,76,150,157500000,5,2,1,0,2011
103,Moneyball,115716527,79385767,20476367,36330760,2993,3018,19,D,126,PG13,94,86,50,52500000,9,4,0,1,2011
104,Just Go With It,225692871,108179514,32040469,117513356,3548,3548,14,C,110,PG13,19,59,80,8.40E+07,2,1,0,0,2011
105,X-Men: First Class,371305330,153728720,57856684,217576610,3641,3692,17,S,131,PG13,87,87,160,1.68E+08,6,3,1,0,2011
106,The Rite,100850015,34700015,15528863,66150000,2985,2985,10,H,112,PG13,21,41,37,38900000,1,1,0,0,2011
107,Tyler Perry's Madea's Big Happy Family,56869351,56012551,26322111,856800,2288,2288,13,C,105,PG13,38,74,25,26300000,4,2,1,0,2011
108,Something Borrowed,63193012,40998813,14642636,22194199,2904,2904,12,C,103,PG13,15,48,35,36800000,5,2,0,0,2011
109,Hall Pass,87318771,47313771,14212143,40005000,2950,2950,11,C,98,R,34,41,36,37800000,2,1,0,0,2011
110,Friends with Benefits,157019357,58592892,19553258,98426466,2926,2926,9,C,120,R,70,66,35,36800000,7,3,0,0,2011
111,Mr. Popper's Penguins,196729842,71635675,19367623,125094167,3339,3342,18,F,95,PG,48,53,55,57800000,6,3,0,0,2011
112,No Strings Attached,156689481,74195331,20635567,82494150,3018,3050,11,C,110,R,49,52,25,26300000,1,1,0,0,2011
113,J. Edgar,88836332,39171332,11778190,49665000,1910,1985,15.3,D,137,R,43,45,35,36800000,11,4,0,0,2011
114,Insidious,101859608,56709608,13935037,45150000,2408,2419,23,H,98,PG13,66,62,1.5,1600000,4,2,1,0,2011
115,The Iron Lady,120704534,31518892,231429,89185642,802,1244,17,D,105,PG13,51,51,12,12600000,12,1,0,1,2011
116,The Conspirator,16252740,12115114,3681932,4137626,707,849,22,D,122,PG13,55,62,25,26300000,4,2,0,0,2011
